"CNY","EUR","JPY","GBP","CAD","AUD","G_USD"
8.2776,1.0418,120.51,1.6069,1.46,0.6634,260.65
8.2781,1.042,120.47,1.5945,1.4618,0.6577,259.15
8.2776,1.0316,120.34,1.5883,1.4598,0.6563,258.5
8.2775,1.0341,119.57,1.5931,1.4635,0.6572,258.45
8.2774,1.0386,120.41,1.5967,1.4638,0.6518,259.55
8.2778,1.0344,122.29,1.5915,1.4711,0.6496,258.85
8.2781,1.0318,121.81,1.5912,1.4706,0.6535,258.55
8.2784,1.0319,121.82,1.5803,1.4712,0.6578,260.65
8.2779,1.0403,121.85,1.5867,1.472,0.6589,260.75
8.2775,1.0427,121.37,1.5872,1.4648,0.6616,260.25
8.278,1.0358,121.47,1.5816,1.4683,0.6578,260.75
8.2786,1.0333,121.05,1.573,1.4775,0.6565,260.75
8.2787,1.034,120.88,1.5786,1.4653,0.6655,262.5
8.2786,1.0231,120.84,1.573,1.4713,0.6678,263.4
8.2785,1.0236,120.97,1.5787,1.4642,0.6685,263.5
8.2782,1.0234,122.03,1.5628,1.4704,0.6637,256.85
8.2783,1.0225,122.34,1.5568,1.469,0.6686,257.15
8.2781,1.021,122.55,1.5585,1.4715,0.6655,256.5
8.2777,1.0171,122.22,1.5483,1.4731,0.6654,256.95
8.2776,1.0154,122.11,1.5565,1.4783,0.662,255.65
8.2775,1.0169,121.38,1.5585,1.4815,0.6584,255.85
8.2778,1.0213,120.75,1.5631,1.4808,0.6576,254.05
8.2775,1.0202,120.95,1.5645,1.4821,0.6608,254.1
8.2773,1.0195,120.99,1.5626,1.4822,0.6603,253.85
8.2773,1.0293,118.41,1.5803,1.4895,0.6494,253.25
8.2777,1.0409,119.37,1.5715,1.4909,0.6442,253.35
8.2773,1.0519,118.4,1.5785,1.4993,0.645,255.3
8.2773,1.0517,117.01,1.5822,1.5068,0.6468,255.45
8.2772,1.0512,116.6,1.5785,1.5073,0.6481,254.65
8.277,1.0657,116.81,1.5898,1.5085,0.6472,254
8.277,1.0619,116.58,1.5907,1.513,0.6441,254.25
8.277,1.0659,116.02,1.5972,1.5065,0.6463,254.15
8.2773,1.0722,115.41,1.6173,1.506,0.6498,256.75
8.2774,1.0706,114.55,1.6215,1.5042,0.6515,255.95
8.277,1.0687,114.19,1.6175,1.5045,0.6499,255.15
8.2773,1.0681,115.35,1.6205,1.4928,0.6541,256.25
8.2774,1.0772,114.53,1.6193,1.4895,0.6588,256.15
8.2774,1.0757,114.53,1.6126,1.4958,0.6537,255.75
8.2773,1.0753,114.63,1.6103,1.5033,0.6524,256.15
8.2774,1.0706,115.14,1.6063,1.5027,0.6528,257.25
8.2772,1.0714,114.89,1.6153,1.4988,0.6506,257.55
8.2772,1.0657,115.55,1.6133,1.4867,0.6493,258.95
8.2771,1.0664,115.27,1.6119,1.4848,0.6502,260.75
8.277,1.0575,115.68,1.607,1.4768,0.651,260.65
8.2774,1.0567,114.51,1.6013,1.4836,0.6505,260.05
8.277,1.0512,114.01,1.6033,1.4788,0.6488,261.5
8.2772,1.0525,111.85,1.6023,1.4826,0.6464,259.65
8.2774,1.0627,111.53,1.6162,1.4925,0.634,258.5
8.2774,1.0666,111.48,1.6135,1.496,0.6375,257.4
8.2772,1.0499,111.65,1.6023,1.498,0.6355,254.25
8.2775,1.0528,110.89,1.5935,1.4949,0.6351,253.25
8.2773,1.0422,111.05,1.5855,1.497,0.6317,252.55
8.2773,1.0445,111.93,1.5877,1.5007,0.6306,252.75
8.2773,1.0459,111.52,1.588,1.4892,0.6323,253.75
8.2771,1.0461,110.69,1.5891,1.4931,0.6335,253.95
8.277,1.0577,109.49,1.6053,1.4944,0.64,255.68
8.2771,1.0598,108.73,1.6041,1.4888,0.6388,253.85
8.2773,1.069,109.07,1.6085,1.4954,0.6447,255.45
8.2775,1.0607,110.23,1.6047,1.4912,0.6465,254.25
8.2776,1.0587,110.83,1.6065,1.4911,0.6492,255.85
8.2776,1.0591,111.05,1.6205,1.4882,0.6475,256.15
8.2774,1.0536,107.91,1.6337,1.478,0.6537,257.25
8.2774,1.035,108.86,1.6188,1.474,0.651,256.55
8.2772,1.0411,106.35,1.6087,1.4693,0.6564,256.45
8.2775,1.0353,105.83,1.6061,1.4741,0.6515,257.25
8.2773,1.0402,104.2,1.6148,1.4753,0.6495,256.55
8.2771,1.0402,105.15,1.6241,1.4763,0.6457,256.35
8.2773,1.0411,106.75,1.6227,1.4707,0.6477,255.25
8.2775,1.0382,106.51,1.6211,1.4772,0.6412,255
8.2775,1.0483,104.87,1.633,1.4748,0.6477,260.8
8.2777,1.0442,103.96,1.6293,1.4701,0.651,264.55
8.2776,1.0434,104.25,1.6393,1.4709,0.6495,266.25
8.2775,1.0427,104.23,1.6427,1.4732,0.6514,268.75
8.2775,1.0472,106.03,1.6471,1.4708,0.653,282.77
8.2775,1.0546,105.95,1.6508,1.4609,0.6575,309
8.2775,1.0631,106.93,1.6437,1.4643,0.6522,301.75
8.2778,1.0667,106.61,1.6461,1.4673,0.6522,298.75
8.278,1.062,107.34,1.6526,1.4723,0.654,320.15
8.2772,1.0648,106.65,1.654,1.4733,0.6539,318
